round,time,instance,nodes,cost,initial_scheme,population_size,selection_size,selection_scheme,probability_mutation,mutation_scheme,termination_scheme,termination_max_generations,path
2,2.632165,4,25,35.16228,0,100,10,1,10000.0,0,1,100,18-19-11-9-7-5-0-1-2-3-4-6-8-10-15-14-13-12-20-22-24-23-21-16-17
2,3.797266,2,25,75.0306,0,100,10,1,10000.0,0,1,100,15-13-5-6-4-3-2-1-0-11-10-9-8-7-12-14-16-18-20-21-22-23-24-19-17
2,3.105716,3,25,57.16228,0,100,10,1,10000.0,0,1,100,14-10-0-1-2-3-4-11-12-5-6-7-8-9-13-17-16-15-19-24-23-22-21-20-18
2,4.834863,1,25,36.0433,0,100,10,1,10000.0,0,1,100,15-16-18-20-24-23-22-21-19-17-11-12-10-8-6-0-1-2-3-4-5-7-9-13-14
2,4.31015,0,25,35.58025,0,100,10,1,10000.0,0,1,100,23-21-12-13-14-15-9-7-5-4-3-2-1-0-6-8-10-11-16-22-24-17-18-19-20
1,1.776252,4,25,35.16228,0,100,10,1,10000.0,0,1,100,4-6-8-10-15-14-13-12-20-22-24-23-21-16-17-18-19-11-9-7-5-0-1-2-3
1,6.423285,2,25,75.0306,0,100,10,1,10000.0,0,1,100,16-18-20-21-22-23-24-19-17-15-13-5-6-4-3-2-1-0-11-10-9-8-7-12-14
1,3.07173,3,25,57.16228,0,100,10,1,10000.0,0,1,100,10-0-1-2-3-4-11-12-5-6-7-8-9-13-17-16-15-19-24-23-22-21-20-18-14
1,8.625721,1,25,36.0433,0,100,10,1,10000.0,0,1,100,9-7-5-4-3-2-1-0-6-8-10-12-11-17-19-21-22-23-24-20-18-16-15-14-13
1,18.87387,0,25,35.4206,0,100,10,1,10000.0,0,1,100,0-6-8-10-11-12-16-22-24-17-18-19-20-23-21-13-14-15-9-7-5-4-3-2-1
0,4.050743,4,25,35.16228,0,100,10,1,10000.0,0,1,100,20-22-24-23-21-16-17-18-19-11-9-7-5-0-1-2-3-4-6-8-10-15-14-13-12
0,6.120654,2,25,75.0306,0,100,10,1,10000.0,0,1,100,13-5-6-4-3-2-1-0-11-10-9-8-7-12-14-16-18-20-21-22-23-24-19-17-15
0,5.493642,3,25,57.16228,0,100,10,1,10000.0,0,1,100,2-1-0-10-14-18-20-21-22-23-24-19-15-11-12-16-17-13-9-8-7-6-5-4-3
0,3.585768,1,25,36.0433,0,100,10,1,10000.0,0,1,100,11-17-19-21-22-23-24-20-18-16-15-14-13-9-7-5-4-3-2-1-0-6-8-10-12
0,9.440683,0,25,35.4206,0,100,10,1,10000.0,0,1,100,0-6-8-10-11-12-16-22-24-17-18-19-20-23-21-13-14-15-9-7-5-4-3-2-1
3,3.479333,4,25,35.16228,0,100,10,1,10000.0,0,1,100,6-4-3-2-1-0-5-7-9-11-19-18-17-16-21-23-24-22-20-12-13-14-15-10-8
3,2.469599,2,25,75.0306,0,100,10,1,10000.0,0,1,100,5-6-4-3-2-1-0-11-10-9-8-7-12-14-16-18-20-21-22-23-24-19-17-15-13
3,1.942926,3,25,57.16228,0,100,10,1,10000.0,0,1,100,21-22-23-24-19-15-16-17-13-9-8-7-6-5-12-11-4-3-2-1-0-10-14-18-20
3,2.918369,1,25,36.0433,0,100,10,1,10000.0,0,1,100,6-8-10-12-11-17-19-21-22-23-24-20-18-16-15-14-13-9-7-5-4-3-2-1-0
3,2.8173,0,25,35.72682,0,100,10,1,10000.0,0,1,100,16-17-13-12-11-10-8-6-0-1-2-3-4-5-7-9-15-14-21-23-20-19-18-24-22
4,1.08038,4,25,35.46537,0,100,10,1,10000.0,0,1,100,8-10-15-14-13-12-22-24-23-21-16-17-18-19-20-11-9-7-5-0-1-2-3-4-6
4,4.999243,2,25,75.46805,0,100,10,1,10000.0,0,1,100,23-24-19-17-15-13-0-1-6-4-3-2-5-11-10-9-8-7-12-14-16-18-20-21-22
4,2.88834,3,25,57.16228,0,100,10,1,10000.0,0,1,100,15-19-24-23-22-21-20-18-14-10-0-1-2-3-4-11-12-5-6-7-8-9-13-17-16
4,2.876409,1,25,36.0433,0,100,10,1,10000.0,0,1,100,6-0-1-2-3-4-5-7-9-13-14-15-16-18-20-24-23-22-21-19-17-11-12-10-8
4,2.044075,0,25,35.4206,0,100,10,1,10000.0,0,1,100,9-15-14-13-21-23-20-19-18-17-24-22-16-12-11-10-8-6-0-1-2-3-4-5-7
