round,time,file,nodes,cost,initial_scheme,population_size,selection_size,selection_scheme,probability_mutation,mutation_scheme,termination_scheme,termination_max_generations,path,avg_time,avg_cost
1,14.462443,distance-matrix-50-3.txt,50,98.28499,0,100,10,1,10000.0,0,1,100,28-22-12-4-5-6-7-13-23-30-31-32-33-25-34-38-44-45-46-47-48-49-39-35-27-21-3-2-1-0-18-19-20-17-16-26-11-10-9-8-14-15-24-29-43-37-42-41-40-36,55.205145400000006,97.720886
1,12.212097,distance-matrix-50-2.txt,50,78.15253,0,100,10,1,10000.0,0,1,100,32-27-25-20-16-9-11-10-12-13-17-21-26-28-37-36-35-34-33-19-15-8-6-4-3-2-0-1-5-7-14-22-18-23-24-29-38-40-44-42-46-47-48-45-49-43-41-39-31-30,47.820131999999994,79.71484000000001
1,132.111719,distance-matrix-50-0.txt,50,84.62067,0,100,10,1,10000.0,0,1,100,5-4-3-2-0-1-6-13-12-23-25-27-31-30-29-28-26-24-18-19-20-21-22-10-8-14-15-17-32-34-35-36-38-40-42-44-46-45-47-49-48-43-41-39-37-33-16-11-9-7,64.9654448,82.49095200000001
1,66.998368,distance-matrix-50-1.txt,50,119.26523,0,100,10,1,10000.0,0,1,100,12-11-43-42-10-9-8-6-0-1-2-3-4-5-7-13-14-15-16-17-18-36-38-40-44-46-49-47-48-45-41-39-37-32-33-35-34-21-19-23-25-31-30-29-28-27-26-24-20-22,40.6825294,118.112722
1,194.513163,distance-matrix-50-4.txt,50,86.65631,0,100,10,1,10000.0,0,1,100,36-43-49-48-47-46-45-44-42-35-31-27-19-20-22-21-23-24-28-32-14-15-16-17-18-30-34-26-9-10-11-12-13-8-6-4-3-2-1-0-5-7-41-40-39-38-37-33-25-29,106.6072954,89.6554
2,15.984096,distance-matrix-50-3.txt,50,88.55702,0,100,10,1,10000.0,0,1,100,32-31-30-24-14-23-29-37-43-42-41-40-36-28-22-12-4-5-6-7-13-8-9-10-11-15-26-16-17-18-19-20-21-0-1-2-3-27-35-39-49-48-47-46-45-44-38-34-25-33,55.205145400000006,97.720886
2,85.437418,distance-matrix-50-2.txt,50,79.34756,0,100,10,1,10000.0,0,1,100,44-47-46-42-48-49-43-45-41-39-25-20-16-9-10-11-12-13-17-21-26-28-37-36-35-34-33-27-24-23-18-22-14-7-5-0-1-2-3-4-6-8-15-19-32-31-30-29-38-40,47.820131999999994,79.71484000000001
2,43.070124,distance-matrix-50-0.txt,50,84.97816,0,100,10,1,10000.0,0,1,100,12-8-23-31-30-29-28-26-24-18-19-20-21-22-25-27-10-6-0-1-2-3-4-5-7-9-33-35-34-36-38-40-42-44-49-48-47-46-45-43-41-39-37-32-17-13-14-15-16-11,64.9654448,82.49095200000001
2,71.660183,distance-matrix-50-1.txt,50,122.89715,0,100,10,1,10000.0,0,1,100,27-26-24-22-12-11-2-3-10-1-9-0-6-8-43-42-4-7-5-13-14-20-16-15-17-18-19-23-21-31-32-33-34-35-37-39-41-45-49-48-47-46-44-40-38-36-25-30-28-29,40.6825294,118.112722
2,24.61756,distance-matrix-50-4.txt,50,94.48207,0,100,10,1,10000.0,0,1,100,24-22-23-21-20-19-27-31-35-42-44-45-46-47-48-49-43-36-28-32-29-25-33-37-38-39-40-41-34-9-2-3-4-6-8-13-12-11-10-7-5-1-0-30-15-16-17-18-26-14,106.6072954,89.6554
4,21.546694,distance-matrix-50-3.txt,50,100.59237,0,100,10,1,10000.0,0,1,100,25-33-32-31-30-29-37-42-43-41-40-36-28-22-23-13-7-6-5-4-12-14-8-9-24-10-11-34-26-16-17-18-19-20-0-1-2-3-21-27-35-39-49-48-47-46-45-38-44-15,55.205145400000006,97.720886
4,69.766334,distance-matrix-50-2.txt,50,76.39802,0,100,10,1,10000.0,0,1,100,5-0-1-2-3-4-6-8-15-19-20-16-9-10-11-12-13-17-21-26-28-37-36-35-34-25-27-33-39-32-31-38-41-43-45-49-48-47-46-44-42-40-30-24-29-23-22-18-14-7,47.820131999999994,79.71484000000001
