round, nodes, instance, generation, time, cost
4,150, 4, 0, 0.00030975, 1808.38
4,150, 4, 1, 0.440762, 1118.96
4,150, 4, 2, 0.828358, 887.985
4,150, 4, 3, 1.24112, 767.549
4,150, 4, 4, 1.65643, 680.187
4,150, 4, 5, 2.07387, 657.33
4,150, 4, 6, 2.47324, 624.832
4,150, 4, 7, 2.87355, 593.048
4,150, 4, 8, 3.24773, 583.084
4,150, 4, 9, 3.66873, 548.902
4,150, 4, 10, 4.0763, 540.178
4,150, 4, 11, 4.48759, 514.197
4,150, 4, 12, 4.8729, 499.15
4,150, 4, 13, 5.30032, 474.657
4,150, 4, 14, 5.72807, 473.551
4,150, 4, 15, 6.18935, 462.778
4,150, 4, 16, 6.61626, 462.093
4,150, 4, 17, 7.0406, 448.859
4,150, 4, 18, 7.50174, 437.769
4,150, 4, 19, 7.9323, 450.691
4,150, 4, 20, 8.31353, 447.682
4,150, 4, 21, 8.72336, 432.925
4,150, 4, 22, 9.13819, 444.177
4,150, 4, 23, 9.5274, 446.274
4,150, 4, 24, 9.91672, 437.655
4,150, 4, 25, 10.3241, 440.943
4,150, 4, 26, 10.6902, 441.577
4,150, 4, 27, 11.092, 436.102
4,150, 4, 28, 11.5128, 410.709
4,150, 4, 29, 11.9193, 437.594
4,150, 4, 30, 12.3187, 439.813
4,150, 4, 31, 12.6934, 448.609
4,150, 4, 32, 13.0766, 428.962
4,150, 4, 33, 13.5149, 432.24
4,150, 4, 34, 13.9492, 441.111
4,150, 4, 35, 14.3218, 433.34
4,150, 4, 36, 14.7426, 432.646
4,150, 4, 37, 15.164, 427.933
4,150, 4, 38, 15.5666, 437.715
4,150, 4, 39, 15.9447, 439.793
4,150, 4, 40, 16.3458, 434.583
4,150, 4, 41, 16.7341, 425.99
4,150, 4, 42, 17.1712, 430.859
4,150, 4, 43, 17.5541, 426.014
4,150, 4, 44, 17.9383, 419.711
4,150, 4, 45, 18.3565, 419.166
4,150, 4, 46, 18.7723, 419.653
4,150, 4, 47, 19.1917, 434.362
4,150, 4, 48, 19.6406, 425.89
4,150, 4, 49, 20.0283, 420.658
4,150, 4, 50, 20.4038, 427.794
4,150, 4, 51, 20.7722, 418.554
4,150, 4, 52, 21.2079, 415.373
4,150, 4, 53, 21.6037, 412.331
4,150, 4, 54, 21.9761, 419.453
4,150, 4, 55, 22.371, 426.6
4,150, 4, 56, 22.7584, 419.402
4,150, 4, 57, 23.1527, 419.897
4,150, 4, 58, 23.5405, 399.94
4,150, 4, 59, 23.9166, 415.811
4,150, 4, 60, 24.3308, 399.877
4,150, 4, 61, 24.7484, 394.087
4,150, 4, 62, 25.187, 382.306
4,150, 4, 63, 25.5904, 392.9
4,150, 4, 64, 25.9897, 400.794
4,150, 4, 65, 26.3861, 401.575
4,150, 4, 66, 26.7983, 409.166
4,150, 4, 67, 27.1748, 409.631
4,150, 4, 68, 27.5725, 406.452
4,150, 4, 69, 27.9579, 424.813
4,150, 4, 70, 28.3376, 444.604
4,150, 4, 71, 28.7858, 434.246
4,150, 4, 72, 29.1918, 422.518
4,150, 4, 73, 29.5561, 409.139
4,150, 4, 74, 29.9492, 414.608
4,150, 4, 75, 30.3384, 413.093
4,150, 4, 76, 30.7446, 413.994
4,150, 4, 77, 31.1696, 405.76
4,150, 4, 78, 31.5422, 424.616
4,150, 4, 79, 31.9457, 423.704
4,150, 4, 80, 32.3625, 413.765
4,150, 4, 81, 32.781, 417.268
4,150, 4, 82, 33.1824, 419.059
4,150, 4, 83, 33.6258, 423.312
4,150, 4, 84, 34.0215, 419.217
4,150, 4, 85, 34.4175, 404.073
4,150, 4, 86, 34.808, 414.957
4,150, 4, 87, 35.2233, 427.428
4,150, 4, 88, 35.6263, 423.399
4,150, 4, 89, 36.0254, 418.738
4,150, 4, 90, 36.4071, 411.014
4,150, 4, 91, 36.8326, 418.41
4,150, 4, 92, 37.2377, 418.61
4,150, 4, 93, 37.6007, 416.566
4,150, 4, 94, 38.0384, 422.25
4,150, 4, 95, 38.4209, 417.933
4,150, 4, 96, 38.832, 426.892
4,150, 4, 97, 39.2247, 408.329
4,150, 4, 98, 39.6261, 446.976
4,150, 4, 99, 40.0152, 434.951
4,150, 4, 100, 40.4022, 431.835
4,150, 4, 101, 40.7892, 407.895
4,150, 4, 102, 41.1991, 397.169
4,150, 4, 103, 41.5963, 402.377
4,150, 4, 104, 42.0371, 416.752
4,150, 4, 105, 42.4282, 418.061
4,150, 4, 106, 42.8138, 417.554
4,150, 4, 107, 43.2017, 416.545
4,150, 4, 108, 43.5916, 416.938
4,150, 4, 109, 44.01, 410.129
4,150, 4, 110, 44.4283, 408.475
4,150, 4, 111, 44.8412, 402.94
4,150, 4, 112, 45.2282, 407.621
4,150, 4, 113, 45.6094, 412.817
4,150, 4, 114, 45.9869, 432.623
4,150, 4, 115, 46.3874, 421.493
4,150, 4, 116, 46.8169, 413.97
4,150, 4, 117, 47.219, 419.204
4,150, 4, 118, 47.6345, 405.395
4,150, 4, 119, 48.0426, 412.762
4,150, 4, 120, 48.4448, 426.366
4,150, 4, 121, 48.8142, 425.744
4,150, 4, 122, 49.2035, 420.543
4,150, 4, 123, 49.5902, 415.088
4,150, 4, 124, 50.0422, 407.838
4,150, 4, 125, 50.4793, 411.315
4,150, 4, 126, 50.8521, 413.104
4,150, 4, 127, 51.247, 416.36
4,150, 4, 128, 51.6494, 415.405
4,150, 4, 129, 52.0298, 429.62
4,150, 4, 130, 52.44, 431.943
4,150, 4, 131, 52.8662, 433.157
4,150, 4, 132, 53.3048, 419.938
4,150, 4, 133, 53.7144, 418.351
4,150, 4, 134, 54.1193, 420.374
4,150, 4, 135, 54.5293, 430.194
4,150, 4, 136, 54.9479, 443.773
4,150, 4, 137, 55.3373, 449.328
4,150, 4, 138, 55.8071, 438.957
4,150, 4, 139, 56.2483, 431.837
4,150, 4, 140, 56.6948, 406.958
4,150, 4, 141, 57.1227, 416.735
4,150, 4, 142, 57.5428, 435.073
4,150, 4, 143, 57.944, 426.592
4,150, 4, 144, 58.3328, 423.158
4,150, 4, 145, 58.7837, 420.727
4,150, 4, 146, 59.1353, 427.382
4,150, 4, 147, 59.5244, 440.165
4,150, 4, 148, 59.9234, 444.054
4,150, 4, 149, 60.3303, 434.563
4,150, 4, 150, 60.7141, 426.324
4,150, 4, 151, 61.1389, 450.296
4,150, 4, 152, 61.5433, 453.648
4,150, 4, 153, 61.9855, 449.671
4,150, 4, 154, 62.3731, 434.72
4,150, 4, 155, 62.7747, 431.338
4,150, 4, 156, 63.2123, 432.761
4,150, 4, 157, 63.5817, 406.54
4,150, 4, 158, 63.9678, 405.071
4,150, 4, 159, 64.3697, 410.361
4,150, 4, 160, 64.7512, 416.517
4,150, 4, 161, 65.1531, 439.816
4,150, 4, 162, 65.5614, 427.47
4,150, 4, 163, 65.9797, 428.382
4,150, 4, 164, 66.3778, 439.201
4,150, 4, 165, 66.7589, 452.917
4,150, 4, 166, 67.1891, 457.584
4,150, 4, 167, 67.6106, 445.462
